Altium Designer Pick and Place Locations
C:\Users\ensar\OneDrive\Masaüstü\VACU\Roll_Min\Roll_Min-Trunk\DONANIM\TASARIM\CAD\PRJ\Project Outputs for Roll_Min_R01\Pick Place\Pick Place for Roll_Min_R01.csv

========================================================================================================================
File Design Information:

Date:       19.11.25
Time:       15:11
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","xxxx","TopLayer","5.08_3pin","26.3600","4.2250","0","CONN,RECT,PLUG,5.08MM,1ROW,3P-TH,xxx"
"P1","xxxx","TopLayer","5.08_3pin","8.2100","4.2250","0","CONN,RECT,PLUG,5.08MM,1ROW,3P-TH,xxx"
"P5","xxxx","TopLayer","5.08_3pin","44.5100","4.2250","0","CONN,RECT,PLUG,5.08MM,1ROW,3P-TH,xxx"
"OP1","PS2501L-1-HA","TopLayer","DIP4SMD","7.5726","-34.4672","90",""
"OP2","PS2501L-1-HA","TopLayer","DIP4SMD","25.7226","-34.4672","90",""
"OP3","PS2501L-1-HA","TopLayer","DIP4SMD","43.8726","-34.4672","90",""
"LD4","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","29.4460","-42.6062","90",""
"LD5","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","47.5960","-42.6062","90",""
"LD3","LTST C170 KGKT GRN","TopLayer","LED0805_GRN","11.2960","-42.6062","90",""
"LCD","2641P0401T","TopLayer","35312_4","27.1320","-76.8502","0",""
"ILERI","1730395","TopLayer","1730395","68.6120","-25.5092","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"HIZ-","1730395","TopLayer","1730395","68.6120","-62.5442","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"HIZ+","1730395","TopLayer","1730395","68.6120","-50.1992","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"GERI","1730395","TopLayer","1730395","68.6120","-37.8542","270","CONN,RECT,PLUG,5.08MM,1ROW,2P-TH,1730395"
"D2","LL4148","TopLayer","SOD80","26.3100","-26.1359","0",""
"D1","LL4148","TopLayer","SOD80","8.1600","-26.1359","0",""
"D3","LL4148","TopLayer","SOD80","44.4600","-26.1359","0",""
"C1","100nF","TopLayer","C1206","60.2740","0.3708","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"C7","100nF","TopLayer","C1206","60.2740","-61.3542","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"C4","100nF","TopLayer","C1206","60.2740","-24.3192","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"C5","100nF","TopLayer","C1206","60.2740","-36.6642","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"C6","100nF","TopLayer","C1206","60.2740","-49.0092","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"C3","100nF","TopLayer","C1206","60.2740","-11.9742","270","CAPACITOR, CERAMIC, 100nF, 50V, 10% TOLERANCE, X7R, 1206 PACKAGE"
"VD3","Vida 3mm","TopLayer","Vida_3mm","-22.1330","8.3186","0","Vida 3mm"
"VD2","Vida 3mm","TopLayer","Vida_3mm","71.8670","8.3186","0","Vida 3mm"
"ETÝKET","Etiket","TopLayer","ETIKET","-427.6990","-663.8767","90","Etiket"
